so2,particulates_pm10_mass_avg,RH_DP,Ozone,AQI,PRESS,WIND,CO,lead_avg,NO,TEMP,Disasters_By_Count,year_month,County_Name,State_Name
-0.4341608947312903,21.81019272709043,79.08363448404766,0.031504825088857116,40.59813390337428,81.22229322777305,81.22229322777305,0.7236075261736579,-0.003005774209536724,1.3114011393247669,83.05072674205876,-1070.5705503281433,2020-06-01,Galveston,Texas
-0.2849757824200583,25.50320982630315,86.15126640628624,0.02633485376862484,34.81519034592656,92.29111396743272,92.29111396743272,0.7313266056344395,0.0121832390476658,1.2756652986498076,84.67782645146228,-1111.541116734858,2020-07-01,Galveston,Texas
-0.3141274751197458,22.218615644843354,82.68875272044048,0.03436176341459461,42.51501049141103,87.42553208702856,87.42553208702856,0.7174096476946505,0.04266979847617696,1.273570068720769,85.53223380306932,-1111.2253855287752,2020-08-01,Galveston,Texas
-0.4008338622150054,16.607239166864847,68.90663508165292,0.04095250167475345,45.54454462417043,66.32065763930838,66.32065763930838,0.7235577281317944,0.008189459122812128,1.3266097504649073,80.56797090589521,-1012.1760238781031,2020-09-01,Galveston,Texas
-0.4799599842209685,17.862458518872,66.20235816464805,0.04057796821237259,41.30397355013072,66.15257366675199,66.15257366675199,0.7400952718876158,0.03743630307454129,1.4090629139786237,73.35595683115268,-928.1007558587046,2020-10-01,Galveston,Texas
-0.5425148962977416,16.86775390436728,66.94507404836297,0.03173326204694503,33.998758231671516,71.84506283376062,71.84506283376062,0.7457247035116387,0.01073685897193742,1.5395841601785203,65.61262865551457,-850.0033212603224,2020-11-01,Galveston,Texas
-0.6620376188221517,12.707191350402768,67.04409765096807,0.025961620750413045,31.779521593542963,75.24264479113751,75.24264479113751,0.7494269440192894,0.011434910193513588,1.6509025581066206,58.1306082304877,-769.6341211211899,2020-12-01,Galveston,Texas
-0.5509250939677458,13.881035046374901,70.71446800639214,0.026874075057489028,28.67754921325728,80.36504742029747,80.36504742029747,0.7156284079648878,0.015778136210252737,1.5267601292861197,55.23594380453578,-747.5333553359566,2021-01-01,Galveston,Texas
-0.6897585328792337,11.289550998348432,75.73088262906886,0.031279908786685184,32.31311352666081,87.31845357640759,87.31845357640759,0.7124676395187169,0.020887673934662232,1.4682506865423364,58.70649842455914,-800.6580170839801,2021-02-01,Galveston,Texas
-1.2441344326141308,20.65277891938313,64.08265231918071,0.03770518882728547,39.58546255988457,71.96454719893812,71.96454719893812,0.7351265291361884,0.04378366353145421,1.4275648820420264,61.720292825952704,-804.3027583466674,2021-03-01,Galveston,Texas
-0.8673435416940622,24.74309139831682,69.18207842079131,0.0417579702280581,46.31401201611458,73.46702356827444,73.46702356827444,0.7289272116224295,0.0069352555565001675,1.3011053287803216,70.63379843738093,-909.9498173244478,2021-04-01,Galveston,Texas
-0.91759114608954,21.948656787477823,74.07919064540178,0.038945674637011714,45.27832224619618,76.19455995530902,76.19455995530902,0.7300894533266425,0.01188410416097571,1.1781074982511883,78.10261303728416,-1002.2217179995138,2021-05-01,Galveston,Texas
-0.6562490335514811,20.96716185149136,78.66784465935139,0.03178266135689233,40.02914382978835,80.14242214372224,80.14242214372224,0.7237370895373316,-0.0073505081432206215,1.0978220276569297,83.10054434529161,-1069.1554424689639,2021-06-01,Galveston,Texas
-0.4264255504560449,24.48319039961065,86.92113097171507,0.026360302180080376,33.70150329083788,93.47691894345016,93.47691894345016,0.7343386596812431,0.011851521845909943,1.0613010124839624,84.62090632591183,-1113.2206313793984,2021-07-01,Galveston,Texas
-0.4659847439848158,22.146544884564356,83.50548246853327,0.034738966472613673,42.02579631403629,88.83214725728882,88.83214725728882,0.7099478933453195,0.04713990231224848,1.0606216714969652,85.83281546013441,-1117.7664998294592,2021-08-01,Galveston,Texas
-0.5859757712402618,16.260220298804867,67.83942643808156,0.041228792854956745,44.607831538148204,64.99061349555079,64.99061349555079,0.7196932446608342,0.006655071936821914,1.103065435489759,80.33057922929707,-1007.1640673307555,2021-09-01,Galveston,Texas
