Year,State,City,Total_Population,Total_CO2
2013,OK,Tulsa,1057457.0,0.0
2015,OK,Tulsa,1080141.0,0.0
2016,OK,Tulsa,1086285.0,0.0
2018,OK,Tulsa,1085148.0,0.0
2012,OK,Tulsa,1044670.0,0.0
2016,NM,Farmington,91622.0,0.0
2014,NM,Farmington,92242.0,0.0
2017,NM,Farmington,90878.0,0.0
2012,NM,Farmington,92456.0,413.0
2011,NM,Farmington,92176.0,518.0
2018,NM,Albuquerque,1120436.0,1705.0
2015,NM,Farmington,91806.0,0.0
2013,NM,Farmington,92428.0,0.0
2018,NM,Farmington,89576.0,0.0
2016,MO,St. Louis,2256135.0,383458.0
2015,MO,Liberty,60882.0,70438.0
2014,MO,St. Louis,2274496.0,204236.0
2017,MO,St. Louis,2240752.0,341278.0
2014,MO,Liberty,60686.0,28749.0
2018,MO,St. Louis,2226244.0,379518.0
2017,MO,Liberty,62952.0,70679.0
2013,MO,Liberty,60244.0,33992.0
2016,MO,Liberty,61230.0,60046.0
2011,MO,St. Louis,2279121.0,424906.0
2015,MO,St. Louis,2270773.0,226429.0
2012,MO,St. Louis,2280565.0,253504.0
2018,MO,Liberty,63558.0,24996.0
2013,MO,St. Louis,2277446.0,251522.0
2011,MO,Liberty,59124.0,55152.0
2012,MO,Liberty,59670.0,29860.0
2017,GA,Gainesville,80910.0,23218.0
2016,GA,Gainesville,76554.0,12226.0
2018,GA,Gainesville,82928.0,20660.0
2018,MI,Ann Arbor,487560.0,188927.0
2018,KS,Overland Park,770144.0,29817.0
2014,KS,Wichita,1556737.0,782907.0
2015,KS,Wichita,1560598.0,1460263.0
2016,KS,Wichita,1565002.0,1797679.0
2017,KS,Wichita,1564033.0,1542634.0
2018,KS,Wichita,1559793.0,1348562.0
2013,KS,Wichita,1551846.0,23096.0
2012,NJ,Jersey City,1024592.0,0.0
2013,NJ,Jersey City,1028972.0,0.0
2011,NJ,Jersey City,1011640.0,23937.0
2014,NJ,Jersey City,1035176.0,0.0
2014,MD,Baltimore,2694501.0,489872.0
2012,MD,Baltimore,2686942.0,0.0
2018,MD,Baltimore,2635916.0,592012.0
2016,MD,Baltimore,2676163.0,466452.0
2017,MD,Baltimore,2658126.0,465618.0
2011,MD,Baltimore,2674123.0,454783.0
2015,MD,Baltimore,2693921.0,755152.0
2013,MD,Baltimore,2689729.0,399212.0
2017,AZ,Tucson,1083558.0,0.0
2015,AZ,Tempe,358442.0,153861.0
2018,AZ,Tempe,384728.0,306676.0
2014,AZ,Cochise,177256.0,55790.0
2013,AZ,Phoenix,3054672.0,206963.0
2017,AZ,Phoenix,3269968.0,170878.0
2016,AZ,Chandler,495690.0,0.0
2016,AZ,Cochise,175079.0,56495.0
2017,AZ,Tempe,371862.0,133473.0
2011,AZ,Phoenix,2940104.0,214705.0
2014,AZ,Tempe,351460.0,104044.0
2015,AZ,Phoenix,3169854.0,717769.0
2015,AZ,Chandler,487358.0,86729.0
2012,AZ,Cochise,182946.0,56127.0
2013,AZ,Tempe,341614.0,79082.0
2014,AZ,Phoenix,3113104.0,524093.0
2016,AZ,Tucson,1075662.0,0.0
2018,AZ,Page,15132.0,0.0
2014,AZ,Chandler,481786.0,48870.0
2017,AZ,Cochise,174211.0,22212.0
2016,AZ,Phoenix,3227162.0,337638.0
2011,AZ,Cochise,184519.0,58118.0
2018,AZ,Cochise,176488.0,9875.0
2015,AZ,Cochise,176088.0,54533.0
2016,AZ,Tempe,370008.0,136131.0
2012,AZ,Phoenix,2999678.0,291325.0
2013,AZ,Cochise,179969.0,50586.0
2018,AZ,Phoenix,3320544.0,58706.0
2016,IA,Ames,131762.0,140959.0
2015,IA,Ames,131324.0,20862.0
2013,IA,Ames,126092.0,12026.0
2014,IA,Ames,129530.0,51747.0
2017,IA,Ames,132570.0,273102.0
2018,IA,Ames,134308.0,447548.0
2014,MA,Marlborough,158764.0,119754.0
2012,MA,Marlborough,157220.0,176335.0
2011,MA,Marlborough,155736.0,65.0
2013,MA,Marlborough,157872.0,98003.0
2018,MA,Boston,2778332.0,0.0
2017,MA,Boston,2753104.0,0.0
2016,MA,Boston,2721880.0,0.0
2015,TN,Knoxville,368668.0,0.0
2012,TN,Knoxville,362540.0,334150.0
2014,TN,Knoxville,366062.0,61491.0
2018,TN,Knoxville,375000.0,856259.0
2011,TN,Knoxville,360168.0,278117.0
2017,TN,Knoxville,373946.0,30130.0
2013,TN,Knoxville,364354.0,134257.0
2015,FL,Coral Gables,101542.0,5507.0
2014,FL,Fort Lauderdale,350456.0,0.0
2014,FL,Coral Gables,101274.0,9898.0
2015,FL,Jacksonville,1731670.0,19310.0
2018,FL,Fort Lauderdale,365190.0,0.0
2013,FL,Tampa,704852.0,188206.0
2016,FL,Coral Gables,101838.0,1295.0
2012,FL,Jacksonville,1673994.0,5472.0
2012,FL,Tampa,697310.0,215671.0
2012,FL,Fort Lauderdale,341882.0,0.0
2013,FL,Jacksonville,1685524.0,0.0
2013,FL,Juno Beach,6582.0,65672.0
2013,FL,Coral Gables,100430.0,0.0
2017,FL,Fort Lauderdale,359772.0,0.0
2014,FL,Juno Beach,6736.0,78046.0
2018,FL,Coral Gables,101998.0,68020.0
2014,FL,Jacksonville,1705120.0,2067.0
2017,FL,Coral Gables,102342.0,647.0
2016,FL,Juno Beach,7168.0,108451.0
2016,FL,Jacksonville,1760990.0,7590.0
2011,FL,Jacksonville,1659108.0,148.0
2012,FL,Juno Beach,6516.0,17645.0
2017,FL,Jacksonville,1783472.0,2712.0
2017,FL,Juno Beach,7236.0,97543.0
2015,FL,Juno Beach,6964.0,79041.0
2018,FL,Jacksonville,1807778.0,6393.0
2011,FL,Juno Beach,6444.0,5525.0
2016,FL,Fort Lauderdale,357768.0,0.0
2011,FL,Fort Lauderdale,338042.0,0.0
2011,FL,Tampa,693556.0,88424.0
2018,FL,Juno Beach,7296.0,125507.0
2013,FL,Fort Lauderdale,344658.0,0.0
2015,FL,Fort Lauderdale,354814.0,0.0
2014,FL,Tampa,717508.0,191400.0
2018,ID,Boise,13816.0,59843.0
2012,CA,Santa Barbara,744002.0,21611.0
2014,CA,Escondido,299598.0,1099368.0
2015,CA,Napa,327254.0,16686.0
2015,CA,Porterville,119904.0,10440.0
2016,CA,Santa Fe Springs,35966.0,29793.0
2017,CA,Selma,49432.0,9821.0
2017,CA,Sunnyvale,306508.0,44486.0
2018,CA,Escalon,15174.0,24589.0
2012,CA,Oakdale,42448.0,64613.0
2014,CA,Apple Valley,142386.0,2097963.0
2014,CA,Industry,416.0,11930.0
2015,CA,Simi Valley,252580.0,10469.0
2015,CA,Union City,148696.0,35671.0
2016,CA,Santa Paula,60586.0,8538.0
2016,CA,Shafter,38030.0,1115890.0
2011,CA,Salinas,304908.0,70158.0
2011,CA,Sanger,48894.0,57547.0
2011,CA,Santa Ana,656510.0,36791.0
2012,CA,Thousand Oaks,255386.0,23211.0
2012,CA,Union City,143326.0,31821.0
2013,CA,San Juan Capistrano,71098.0,27641.0
2014,CA,Commerce,25962.0,108953.0
2014,CA,Gridley,13144.0,0.0
2014,CA,Kerman,28690.0,16833.0
2015,CA,Manteca,149996.0,16644.0
